id,latitude,longitude,location,vehicle_number,vehicle_type,violation_type,created_datetime,date,hour,day_of_week,month,week,police_station,junction_name,validation_status,center_code,is_named_junction,is_peak_hour,is_main_road_violation,is_large_vehicle
FKID000000,12.9255567,77.618665,"18th Main Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL0000,MAXI-CAB,WRONG PARKING; PARKING NEAR ROAD CROSSING,2023-11-20T00:28:46+00:00,2023-11-20,0,Monday,2023-11,2023-W47,Madiwala,No Junction,APPROVED,9,False,False,True,True
FKID000001,12.9054633,77.7007781,"Sarjapura Main Road, The Grove, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0001,CAR,NO PARKING,2023-11-24T22:46:46+00:00,2023-11-24,22,Friday,2023-11,2023-W47,Bellandur,No Junction,UNKNOWN,82,False,False,False,False
FKID000002,12.9254492,77.6185035,"Koramangala 2nd Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",FKN00GL0002,MAXI-CAB,WRONG PARKING; PARKING IN A MAIN ROAD,2023-11-20T00:27:46+00:00,2023-11-20,0,Monday,2023-11,2023-W47,Madiwala,No Junction,APPROVED,9,False,False,True,True
FKID000003,12.956521,77.5186178,"6th Cross Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",FKN00GL0003,SCOOTER,NO PARKING,2023-11-16T06:47:46+00:00,2023-11-16,6,Thursday,2023-11,2023-W46,Byatarayanapura,No Junction,APPROVED,26,False,False,False,False
FKID000004,12.9777667,77.5805453,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN00GL0004,TANKER,NO PARKING,2023-11-22T04:56:46+00:00,2023-11-22,4,Wednesday,2023-11,2023-W47,Upparpet,BTP044 - Sagar Theatre Junction,APPROVED,3,True,False,False,False
FKID000005,12.9816772,77.6081248,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0005,SCOOTER,NO PARKING,2023-11-28T07:04:46+00:00,2023-11-28,7,Tuesday,2023-11,2023-W48,Shivajinagar,BTP051 - Safina Plaza Junction,APPROVED,16,True,False,False,False
FKID000006,12.9955535,77.6137265,"1st Cross Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0006,SCOOTER,NO PARKING,2023-11-28T06:55:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Pulikeshinagar(F.Town),No Junction,APPROVED,14,False,False,False,False
FKID000007,12.9978696,77.5438903,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0007,SCOOTER,WRONG PARKING,2023-11-28T06:35:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Vijayanagara,BTP205 - Modi Hospital Junction,APPROVED,30,True,False,False,False
FKID000008,12.9954021,77.6139993,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0008,PASSENGER AUTO,NO PARKING,2023-11-28T06:56:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Pulikeshinagar(F.Town),No Junction,APPROVED,14,False,False,False,False
FKID000009,12.9954054,77.6140177,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0009,SCOOTER,NO PARKING,2023-11-28T06:57:46+00:00,2023-11-28,6,Tuesday,2023-11,2023-W48,Pulikeshinagar(F.Town),No Junction,APPROVED,14,False,False,False,False
