hotspot_id,hotspot_name,police_station,latitude,longitude,pcis_score,drift_score,severity_norm,repeat_offender_density_norm,priority_score,priority_band,rank_city,rank_station
N-6fcdb24b,"BTP080 - NR Road, SP Road Junction",City Market,12.9633173,77.5812116,69.43,100.0,70.574,25.6684,70.7371,Critical,1,1
N-04746066,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,12.9936333,77.5537389,83.94,57.66,91.8636,23.1079,69.8299,Critical,2,1
N-30e36d1e,BTP058 - Subbanna Junction,Upparpet,12.9787965,77.5787497,79.79,0.0,97.6684,100.0,66.4497,Critical,3,1
N-59a97111,BTP057 - Anand Rao Junction,Upparpet,12.9792514,77.5744493,81.27,0.0,92.6194,100.0,66.0319,Critical,4,2
N-753ac65a,BTP045 - Danvanthri Road Junction,Upparpet,12.9770651,77.5747896,78.2,0.0,91.0757,100.0,64.4951,Critical,5,3
N-7952534b,"BTP024 - NPS, Vijayanagar",Magadi Road,12.9826246,77.548865,64.53,85.15,73.3398,3.8961,62.3519,Critical,6,1
N-5286fee2,BTP044 - Sagar Theatre Junction,Upparpet,12.9750545,77.5789751,72.52,0.0,89.9019,100.0,61.9884,Critical,7,4
N-0ebfa5bc,"BTP186 - 9th Cross, 4th Main, Jayanagar",Wilson Garden,12.939458,77.5838612,59.16,100.0,61.6819,2.1251,61.3192,Critical,8,1
N-98d1ff4a,"BTP163 - 16th Main Road, BTM Layout",Mico Layout,12.9149953,77.6085201,59.21,95.1,66.4898,2.0779,61.0686,Critical,9,1
N-6277ce3c,"BTP026 - 1st Block Junction, Rajajinagar",Malleshwaram,13.0024745,77.5501316,54.27,68.74,77.1024,42.5974,60.7031,Critical,10,1
N-2fb5e349,BTP040 - Elite Junction,Upparpet,12.9765967,77.5766022,67.59,0.0,89.9341,100.0,60.0228,Critical,11,5
N-b672bf35,BTP041 - Gopal Gowda Circle,Cubbon Park,12.9772959,77.5902652,70.58,65.42,68.9822,10.1299,59.9029,Critical,12,1
N-2d5e02cf,BTP211 - Central Street Junction,Shivajinagar,12.9833849,77.6034593,71.7,0.0,88.8728,82.5974,58.8442,Critical,13,1
N-1b2baade,"BTP117 - 9th Cross, Kanakapura Road",J.P. Nagar,12.9108194,77.5736923,76.56,64.53,60.4277,0.0,58.842,Critical,14,1
N-51b0b4b8,BTP038 - Mysore Bank Junction,Upparpet,12.9740976,77.5810919,66.83,0.0,84.7886,100.0,58.6897,Critical,15,6
N-85c545c1,BTP027 - Modi Bridge Junction,Rajajinagar,12.9992733,77.5493148,55.45,61.83,84.9815,23.1079,58.1,Critical,16,2
N-d04dce8f,BTP054 - Shivananda Circle,High ground,12.9856733,77.579324,55.28,60.41,75.205,33.3952,57.2648,Critical,17,1
N-a0b5be6e,BTP051 - Safina Plaza Junction,Shivajinagar,12.981272,77.6087061,66.9,0.0,88.7924,82.5974,56.9081,Critical,18,2
N-209451fb,BTP108 - Tagore Park Junction,Basavanagudi,12.9439012,77.5714312,61.7,58.15,84.7564,2.0779,56.4805,Critical,19,1
N-3f5e9738,"BTP083 - AS Char Street, Mysore Road",City Market,12.9658217,77.5746276,83.48,0.0,95.9157,25.6684,56.4254,Critical,20,2
U-c224f8d7,Unknown Hotspot U-0021,Chikkajala,13.1854197,77.6800924,88.38,0.0,99.1156,7.7922,56.344,Critical,21,1
U-f4c92592,Unknown Hotspot U-0018,Hulimavu,12.8903811,77.6389168,83.72,0.0,95.8836,22.5108,56.0413,Critical,22,1
N-f67b4e1e,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",Magadi Road,12.9799118,77.5546504,62.18,61.54,75.9286,3.8961,56.0271,Critical,23,2
N-936fc9f8,BTP069 - MC Circle,Vijayanagara,12.9744703,77.5472796,57.93,59.86,73.6453,19.295,55.7603,Critical,24,1
N-2b045709,BTP043 - Upparpet Junction,Upparpet,12.9741837,77.5746187,63.2,0.0,72.6483,100.0,54.8097,Critical,25,7
U-92862bb1,Unknown Hotspot U-0022,Shivajinagar,12.9822757,77.6115233,62.3,0.0,87.297,82.5974,54.769,Critical,26,3
U-7f6ecc28,Unknown Hotspot U-0005,K.R. Pura,13.0084679,77.6953676,85.88,0.0,100.0,1.2987,54.5468,Critical,27,1
U-b8d94d80,Unknown Hotspot U-0064,Mahadevapura,12.9963162,77.6686363,87.77,0.0,94.4686,3.4632,54.5212,Critical,28,1
U-bc84c32c,Unknown Hotspot U-0037,Hebbala,13.0355708,77.5890647,62.24,0.0,87.4417,77.9221,54.0727,Critical,29,1
N-56dfd3f8,BTP104 - Medical College Circle,City Market,12.9595619,77.5766993,79.51,0.0,91.1079,25.6684,53.8758,Critical,30,3
