hotspot_id,hotspot_type,hotspot_name,police_station,latitude,longitude,violation_count,unique_vehicle_count,repeat_vehicle_count,large_vehicle_share,main_road_violation_share,peak_hour_share,active_days,latest_datetime,top_violation_type,hotspot_severity
U-7f6ecc28,Discovered Unknown,Unknown Hotspot U-0005,K.R. Pura,13.0084679,77.6953676,4192,3471,40,0.0768,0.2903,0.5367,152,2024-04-08T00:14:46+00:00,WRONG PARKING,63.76
U-c224f8d7,Discovered Unknown,Unknown Hotspot U-0021,Chikkajala,13.1854197,77.6800924,4767,4231,35,0.3249,0.198,0.2513,147,2024-04-08T09:20:46+00:00,NO PARKING,63.21
N-30e36d1e,Named Junction,BTP058 - Subbanna Junction,Upparpet,12.9787965,77.5787497,4830,3500,138,0.0673,0.0143,0.4453,148,2024-04-08T06:22:46+00:00,NO PARKING,62.31
N-3f5e9738,Named Junction,"BTP083 - AS Char Street, Mysore Road",City Market,12.9658217,77.5746276,1183,1116,33,0.104,0.12,0.5199,127,2024-04-07T16:44:46+00:00,WRONG PARKING,61.22
U-f4c92592,Discovered Unknown,Unknown Hotspot U-0018,Hulimavu,12.8903811,77.6389168,1687,1278,44,0.1766,0.0362,0.3503,135,2024-04-07T21:08:46+00:00,WRONG PARKING,61.2
U-af6d3efb,Discovered Unknown,Unknown Hotspot U-0019,Bellandur,12.9269632,77.6787047,2018,1884,14,0.389,0.0069,0.1467,120,2024-04-07T03:03:46+00:00,WRONG PARKING,60.63
N-fd860ceb,Named Junction,BTP082 - KR Market Junction,City Market,12.9644242,77.5771207,10109,8529,136,0.0349,0.0295,0.3302,152,2024-04-08T17:30:46+00:00,WRONG PARKING,60.48
U-b8d94d80,Discovered Unknown,Unknown Hotspot U-0064,Mahadevapura,12.9963162,77.6686363,2027,1726,31,0.2881,0.7385,0.1737,135,2024-04-08T05:11:46+00:00,WRONG PARKING,60.32
U-d5b25e3d,Discovered Unknown,Unknown Hotspot U-0086,Yelahanka,13.0972786,77.599327,836,745,4,0.1172,0.0203,0.5395,99,2024-04-08T04:49:46+00:00,WRONG PARKING,60.1
U-a8b079ec,Discovered Unknown,Unknown Hotspot U-0020,Mahadevapura,13.0003425,77.6769195,2090,1889,22,0.1053,0.3751,0.3646,117,2024-04-07T04:50:46+00:00,NO PARKING,59.91
N-59a97111,Named Junction,BTP057 - Anand Rao Junction,Upparpet,12.9792514,77.5744493,3641,3114,103,0.1371,0.0393,0.1928,147,2024-04-08T08:32:46+00:00,WRONG PARKING,59.17
U-edd2fac5,Discovered Unknown,Unknown Hotspot U-0014,HAL Old Airport,12.9431845,77.6978399,4370,3952,36,0.2153,0.6517,0.0828,142,2024-04-07T05:16:46+00:00,WRONG PARKING,58.82
N-04746066,Named Junction,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,12.9936333,77.5537389,1192,719,64,0.2232,0.057,0.2273,114,2024-04-07T22:09:46+00:00,WRONG PARKING,58.7
U-62768426,Discovered Unknown,Unknown Hotspot U-0066,Chikkajala,13.1912467,77.646222,947,881,7,0.1922,0.3728,0.3221,96,2024-04-04T01:08:46+00:00,NO PARKING,58.28
N-56dfd3f8,Named Junction,BTP104 - Medical College Circle,City Market,12.9595619,77.5766993,1457,1247,18,0.2574,0.0302,0.1956,119,2024-04-08T00:50:46+00:00,WRONG PARKING,58.23
N-753ac65a,Named Junction,BTP045 - Danvanthri Road Junction,Upparpet,12.9770651,77.5747896,3181,2787,87,0.1103,0.0406,0.1594,150,2024-04-08T09:06:46+00:00,WRONG PARKING,58.21
