hotspot_id,hotspot_type,hotspot_name,police_station,latitude,longitude,violation_count,unique_vehicle_count,repeat_vehicle_count,large_vehicle_share,main_road_violation_share,peak_hour_share,active_days,latest_datetime,top_violation_type,hotspot_severity,daily_density,repeat_offender_ratio,pcis_daily_density,pcis_peak_hour,pcis_large_vehicle,pcis_main_road,pcis_repeat_offender,pcis_score,pcis_percentile,pcis_band
U-4f4791fa,Discovered Unknown,Unknown Hotspot U-0296,Byatarayanapura,12.9501882,77.5223018,136,92,4,0.4338,0.6838,0.2941,12,2024-03-17T06:15:46+00:00,PARKING IN A MAIN ROAD,42.04,11.3333,0.0435,89.301,91.2981,97.8602,95.0071,91.0128,92.54,100.0,Critical
U-c224f8d7,Discovered Unknown,Unknown Hotspot U-0021,Chikkajala,13.1854197,77.6800924,4767,4231,35,0.3249,0.198,0.2513,147,2024-04-08T09:20:46+00:00,NO PARKING,63.21,32.4286,0.0083,98.2882,88.5877,94.8645,77.0328,62.1969,88.38,99.86,Critical
U-b8d94d80,Discovered Unknown,Unknown Hotspot U-0064,Mahadevapura,12.9963162,77.6686363,2027,1726,31,0.2881,0.7385,0.1737,135,2024-04-08T05:11:46+00:00,WRONG PARKING,60.32,15.0148,0.018,93.01,77.3181,92.582,96.291,75.7489,87.77,99.71,Critical
U-a8b079ec,Discovered Unknown,Unknown Hotspot U-0020,Mahadevapura,13.0003425,77.6769195,2090,1889,22,0.1053,0.3751,0.3646,117,2024-04-07T04:50:46+00:00,NO PARKING,59.91,17.8632,0.0116,94.4365,95.0071,72.4679,86.4479,68.0456,86.35,99.57,Critical
U-7f6ecc28,Discovered Unknown,Unknown Hotspot U-0005,K.R. Pura,13.0084679,77.6953676,4192,3471,40,0.0768,0.2903,0.5367,152,2024-04-08T00:14:46+00:00,WRONG PARKING,63.76,27.5789,0.0115,97.2896,98.0029,64.7646,83.0243,67.903,85.88,99.43,Critical
U-62768426,Discovered Unknown,Unknown Hotspot U-0066,Chikkajala,13.1912467,77.646222,947,881,7,0.1922,0.3728,0.3221,96,2024-04-04T01:08:46+00:00,NO PARKING,58.28,9.8646,0.0079,86.5906,93.01,86.1626,86.1626,61.9116,85.58,99.29,Critical
U-aad3d7ea,Discovered Unknown,Unknown Hotspot U-0138,Chikkajala,13.1215627,77.6311795,294,280,1,0.3197,0.4184,0.4456,44,2024-04-06T03:59:46+00:00,NO PARKING,54.57,6.6818,0.0036,75.6063,96.8616,94.4365,87.8745,54.6362,84.43,99.14,Critical
U-3cf77393,Discovered Unknown,Unknown Hotspot U-0149,Whitefield,12.9514364,77.7174912,392,344,2,0.2347,0.8291,0.2092,45,2024-04-06T21:41:46+00:00,WRONG PARKING,51.08,8.7111,0.0058,84.0228,83.4522,89.1583,97.8602,57.7746,84.36,99.0,Critical
N-04746066,Named Junction,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,12.9936333,77.5537389,1192,719,64,0.2232,0.057,0.2273,114,2024-04-07T22:09:46+00:00,WRONG PARKING,58.7,10.4561,0.089,87.4465,86.1626,88.5877,57.4893,98.2882,83.94,98.86,Critical
U-f4c92592,Discovered Unknown,Unknown Hotspot U-0018,Hulimavu,12.8903811,77.6389168,1687,1278,44,0.1766,0.0362,0.3503,135,2024-04-07T21:08:46+00:00,WRONG PARKING,61.2,12.4963,0.0344,91.2981,94.5792,84.3081,47.5036,87.0185,83.72,98.72,Critical
N-3f5e9738,Named Junction,"BTP083 - AS Char Street, Mysore Road",City Market,12.9658217,77.5746276,1183,1116,33,0.104,0.12,0.5199,127,2024-04-07T16:44:46+00:00,WRONG PARKING,61.22,9.315,0.0296,85.592,97.8602,72.0399,69.6148,84.8787,83.48,98.57,Critical
U-5fab61d9,Discovered Unknown,Unknown Hotspot U-0337,Mahadevapura,12.9791048,77.709662,23,23,0,0.2609,0.4783,0.4348,4,2024-02-21T22:41:46+00:00,WRONG PARKING,15.81,5.75,0.0,70.8987,96.5763,91.4408,89.4437,53.067,82.43,98.43,Critical
U-edd2fac5,Discovered Unknown,Unknown Hotspot U-0014,HAL Old Airport,12.9431845,77.6978399,4370,3952,36,0.2153,0.6517,0.0828,142,2024-04-07T05:16:46+00:00,WRONG PARKING,58.82,30.7746,0.0091,97.8602,56.4907,87.7318,93.8659,64.0514,81.51,98.29,Critical
N-59a97111,Named Junction,BTP057 - Anand Rao Junction,Upparpet,12.9792514,77.5744493,3641,3114,103,0.1371,0.0393,0.1928,147,2024-04-08T08:32:46+00:00,WRONG PARKING,59.17,24.7687,0.0331,96.8616,80.7418,79.6006,49.6434,86.5906,81.27,98.15,Critical
N-bf5f02d2,Named Junction,BTP096 - Gali Anjaneya Temple,Byatarayanapura,12.9525948,77.5412161,972,926,6,0.1121,0.2233,0.3107,111,2024-04-08T04:53:46+00:00,NO PARKING,55.57,8.7568,0.0065,84.1655,92.7247,74.1797,79.03,58.6305,80.98,98.0,Critical
N-30e36d1e,Named Junction,BTP058 - Subbanna Junction,Upparpet,12.9787965,77.5787497,4830,3500,138,0.0673,0.0143,0.4453,148,2024-04-08T06:22:46+00:00,NO PARKING,62.31,32.6351,0.0394,98.4308,96.719,61.1983,32.525,89.5863,79.79,97.86,Critical
U-4d94be43,Discovered Unknown,Unknown Hotspot U-0131,HAL Old Airport,12.9720971,77.7117411,842,790,3,0.304,0.1829,0.1496,90,2024-04-07T22:49:46+00:00,WRONG PARKING,56.81,9.3556,0.0038,85.8773,73.4665,93.5806,76.1769,55.2068,79.79,97.86,Critical
U-f1b01484,Discovered Unknown,Unknown Hotspot U-0013,K.R. Pura,13.0057366,77.6858728,1334,1257,5,0.0765,0.1222,0.2714,80,2024-04-02T20:21:46+00:00,WRONG PARKING,55.68,16.675,0.004,94.1512,90.0143,64.622,69.7575,55.7775,79.71,97.57,Critical
N-56dfd3f8,Named Junction,BTP104 - Medical College Circle,City Market,12.9595619,77.5766993,1457,1247,18,0.2574,0.0302,0.1956,119,2024-04-08T00:50:46+00:00,WRONG PARKING,58.23,12.2437,0.0144,91.0128,81.1698,90.8702,44.2225,71.0414,79.51,97.43,Critical
N-01caeca6,Named Junction,BTP137 - Madiwala Traffic PS Junction,Madiwala,12.9233262,77.6198709,596,516,8,0.1896,0.0721,0.3893,107,2024-04-07T19:33:46+00:00,NO PARKING,55.45,5.5701,0.0155,70.0428,95.7204,85.3067,61.6262,72.6106,78.51,97.29,Critical
N-416494df,Named Junction,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,12.9636635,77.642234,745,651,6,0.1128,0.3396,0.2,102,2024-04-08T00:47:46+00:00,NO PARKING,51.88,7.3039,0.0092,79.03,82.4536,74.6077,85.3067,64.194,78.46,97.15,Critical
N-753ac65a,Named Junction,BTP045 - Danvanthri Road Junction,Upparpet,12.9770651,77.5747896,3181,2787,87,0.1103,0.0406,0.1594,150,2024-04-08T09:06:46+00:00,WRONG PARKING,58.21,21.2067,0.0312,95.7204,74.893,73.6091,49.9287,85.4494,78.2,97.0,Critical
U-31bc4dc9,Discovered Unknown,Unknown Hotspot U-0396,Byatarayanapura,12.9523512,77.5204954,21,16,1,0.1905,0.6667,0.4762,7,2024-01-20T18:54:46+00:00,NO PARKING,16.19,3.0,0.0625,41.7974,97.1469,85.8773,94.4365,96.1484,77.78,96.86,Critical
U-dab064f2,Discovered Unknown,Unknown Hotspot U-0025,HAL Old Airport,12.9577853,77.7015538,1846,1592,23,0.1273,0.1809,0.1018,141,2024-04-07T23:53:46+00:00,NO PARKING,56.67,13.0922,0.0144,92.0114,62.1969,78.0314,76.0342,71.3267,77.3,96.72,Critical
U-ee48a596,Discovered Unknown,Unknown Hotspot U-0105,Yeshwanthpura,13.0301249,77.5373951,834,770,3,0.0971,0.3034,0.265,129,2024-04-08T06:04:46+00:00,WRONG PARKING,56.57,6.4651,0.0039,74.6077,89.729,70.8987,83.4522,55.6348,77.08,96.58,Critical
U-5acaba4d,Discovered Unknown,Unknown Hotspot U-0199,Bellandur,12.9290428,77.6951259,522,457,10,0.4559,0.6628,0.046,60,2024-04-02T09:51:46+00:00,NO PARKING,54.73,8.7,0.0219,83.7375,41.2268,98.0029,94.0086,79.3153,77.06,96.43,Critical
