hotspot_id,hotspot_type,hotspot_name,police_station,latitude,longitude,violation_count,unique_vehicle_count,repeat_vehicle_count,large_vehicle_share,main_road_violation_share,peak_hour_share,active_days,latest_datetime,top_violation_type,hotspot_severity
U-6bb82507,Discovered Unknown,Unknown Hotspot U-0008,HAL Old Airport,12.9333817,77.6901618,10228,5606,471,0.0772,0.3085,0.038,129,2024-04-06T06:12:46+00:00,NO PARKING,57.24
U-29d2981c,Discovered Unknown,Unknown Hotspot U-0031,Malleshwaram,13.0003015,77.5710868,9923,8576,122,0.0209,0.0085,0.0364,152,2024-04-08T04:58:46+00:00,WRONG PARKING,55.98
U-df287f62,Discovered Unknown,Unknown Hotspot U-0050,Kodigehalli,13.0709986,77.5884522,6155,4588,84,0.0078,0.0431,0.0426,138,2024-04-08T08:08:46+00:00,WRONG PARKING,55.35
U-be9ac128,Discovered Unknown,Unknown Hotspot U-0029,Malleshwaram,13.0115214,77.5539046,5956,4913,86,0.0618,0.0081,0.043,151,2024-04-08T11:49:46+00:00,WRONG PARKING,56.47
U-c224f8d7,Discovered Unknown,Unknown Hotspot U-0021,Chikkajala,13.1854197,77.6800924,4767,4231,35,0.3249,0.198,0.2513,147,2024-04-08T09:20:46+00:00,NO PARKING,63.21
U-edd2fac5,Discovered Unknown,Unknown Hotspot U-0014,HAL Old Airport,12.9431845,77.6978399,4370,3952,36,0.2153,0.6517,0.0828,142,2024-04-07T05:16:46+00:00,WRONG PARKING,58.82
U-92862bb1,Discovered Unknown,Unknown Hotspot U-0022,Shivajinagar,12.9822757,77.6115233,4301,3513,101,0.0181,0.0258,0.066,146,2024-04-08T07:09:46+00:00,WRONG PARKING,55.86
U-7f6ecc28,Discovered Unknown,Unknown Hotspot U-0005,K.R. Pura,13.0084679,77.6953676,4192,3471,40,0.0768,0.2903,0.5367,152,2024-04-08T00:14:46+00:00,WRONG PARKING,63.76
U-bc84c32c,Discovered Unknown,Unknown Hotspot U-0037,Hebbala,13.0355708,77.5890647,3478,2607,55,0.0282,0.0066,0.0742,147,2024-04-08T05:47:46+00:00,NO PARKING,55.95
U-c6a29c8e,Discovered Unknown,Unknown Hotspot U-0026,Halasur,12.9734433,77.6188824,3037,2453,43,0.1778,0.0635,0.0547,148,2024-04-07T23:35:46+00:00,NO PARKING,57.81
U-471fb24c,Discovered Unknown,Unknown Hotspot U-0087,HAL Old Airport,12.9631623,77.7171746,2814,2511,25,0.3028,0.027,0.0149,99,2024-04-04T23:54:46+00:00,WRONG PARKING,57.28
U-7ca82fbd,Discovered Unknown,Unknown Hotspot U-0015,Electronic City,12.8418377,77.64605,2116,1758,26,0.0321,0.018,0.2198,133,2024-04-08T07:29:46+00:00,WRONG PARKING,57.38
U-a8b079ec,Discovered Unknown,Unknown Hotspot U-0020,Mahadevapura,13.0003425,77.6769195,2090,1889,22,0.1053,0.3751,0.3646,117,2024-04-07T04:50:46+00:00,NO PARKING,59.91
U-7b0d6efd,Discovered Unknown,Unknown Hotspot U-0003,Pulikeshinagar(F.Town),12.9955252,77.6126859,2045,1726,24,0.021,0.0509,0.1056,128,2024-04-07T22:13:46+00:00,NO PARKING,55.11
U-06bc8d17,Discovered Unknown,Unknown Hotspot U-0012,Jeevanbheemanagar,12.9700529,77.6438927,2038,1754,17,0.0172,0.2763,0.1212,140,2024-04-08T05:23:46+00:00,NO PARKING,55.54
U-b8d94d80,Discovered Unknown,Unknown Hotspot U-0064,Mahadevapura,12.9963162,77.6686363,2027,1726,31,0.2881,0.7385,0.1737,135,2024-04-08T05:11:46+00:00,WRONG PARKING,60.32
U-af6d3efb,Discovered Unknown,Unknown Hotspot U-0019,Bellandur,12.9269632,77.6787047,2018,1884,14,0.389,0.0069,0.1467,120,2024-04-07T03:03:46+00:00,WRONG PARKING,60.63
U-30dbb379,Discovered Unknown,Unknown Hotspot U-0006,HSR Layout,12.9121966,77.6361325,1939,1697,15,0.0072,0.0031,0.2821,125,2024-04-08T00:15:46+00:00,NO PARKING,57.02
U-dab064f2,Discovered Unknown,Unknown Hotspot U-0025,HAL Old Airport,12.9577853,77.7015538,1846,1592,23,0.1273,0.1809,0.1018,141,2024-04-07T23:53:46+00:00,NO PARKING,56.67
U-f4c92592,Discovered Unknown,Unknown Hotspot U-0018,Hulimavu,12.8903811,77.6389168,1687,1278,44,0.1766,0.0362,0.3503,135,2024-04-07T21:08:46+00:00,WRONG PARKING,61.2
U-ead68211,Discovered Unknown,Unknown Hotspot U-0047,Ashok Nagar,12.9723267,77.6071685,1582,1320,33,0.0316,0.1018,0.1852,122,2024-04-08T08:07:46+00:00,NO PARKING,55.81
U-957aa5df,Discovered Unknown,Unknown Hotspot U-0017,Mahadevapura,12.9955942,77.6956979,1466,1345,10,0.0512,0.3779,0.1235,89,2024-04-08T08:58:46+00:00,NO PARKING,53.77
